model_name,test_f1_micro,test_f1_macro
cnn,0.496794871795,0.374280259703
fast_text,0.434294871795,0.134296780837
cnn_lstm,0.532051282051,0.413932973546
b_lstm,0.528846153846,0.379689444049
lstm,0.551282051282,0.518583363647
